LoincNumber,LongCommonName
41806-1,CT Abdomen
79066-7,CT Abdomen 3D post processing WO contrast
44115-4,CT Abdomen and Pelvis
79065-9,CT Abdomen and Pelvis 3D post processing WO contrast
87854-6,CT Abdomen and Pelvis and CT angiogram Abdominal aorta W contrast IV
87853-8,CT Abdomen and Pelvis and CT angiogram Abdominal aorta WO and W contrast IV
88319-9,CT Abdomen and Pelvis and Lower extremity - bilateral W contrast IV
36813-4,CT Abdomen and Pelvis W contrast IV
87865-2,CT Abdomen and Pelvis WO and CT Chest and Abdomen and Pelvis W contrast IV
42274-1,CT Abdomen and Pelvis WO and W contrast IV
36952-0,CT Abdomen and Pelvis WO contrast
36086-7,CT Abdomen limited
36095-8,CT Abdomen limited W contrast IV
36102-2,CT Abdomen limited WO and W contrast IV
36103-0,CT Abdomen limited WO contrast
79103-8,CT Abdomen W contrast IV
46330-7,CT Abdomen W reduced contrast volume IV
87862-9,CT Abdomen WO and CT Abdomen and Pelvis W contrast IV
87864-5,CT Abdomen WO and CT Chest and Abdomen and Pelvis W contrast IV
87863-7,CT Abdomen WO and CT Chest and Abdomen W contrast IV
36267-3,CT Abdomen WO and W contrast IV
46318-2,CT Abdomen WO and W reduced contrast volume IV
36424-0,CT Abdomen WO contrast
35948-9,CT Abdominal Aorta
36143-6,CT Abdominal Aorta W contrast IV
36271-5,CT Abdominal Aorta WO and W contrast IV
36431-5,CT Abdominal Aorta WO contrast
36930-6,CT Adrenal gland
36943-9,CT Adrenal gland W contrast IV
36950-4,CT Adrenal gland WO and W contrast IV
36953-8,CT Adrenal gland WO contrast
79067-5,CT Airway WO contrast
35940-6,CT Ankle
35941-4,CT Ankle - bilateral
69087-5,CT Ankle - bilateral WO contrast
35942-2,CT Ankle - left
69102-2,CT Ankle - left Arthrogram
36137-8,CT Ankle - left W contrast IV
36269-9,CT Ankle - left WO and W contrast IV
36426-5,CT Ankle - left WO contrast
35944-8,CT Ankle - right
69109-7,CT Ankle - right Arthrogram
36139-4,CT Ankle - right W contrast IV
36270-7,CT Ankle - right WO and W contrast IV
36428-1,CT Ankle - right WO contrast
36135-2,CT Ankle W contrast IV
36268-1,CT Ankle WO and W contrast IV
36425-7,CT Ankle WO contrast
35952-1,CT Appendix
36145-1,CT Appendix W contrast IV
36434-9,CT Appendix WO contrast
79085-7,CT Biliary ducts WO and W contrast IV
44229-3,CT Bone
36054-5,CT Brachial plexus
89835-3,CT Brachial plexus W contrast IV
89836-1,CT Brachial plexus WO contrast
44119-6,CT Breast - bilateral WO contrast
24734-6,CT Cerebral cisterns W contrast IT
86984-2,CT Cervical and thoracic and lumbar spine W contrast IV
86987-5,CT Cervical and thoracic and lumbar spine WO contrast
87922-1,CT Cervical and thoracic spine W contrast IT
86985-9,CT Cervical and thoracic spine W contrast IV
86959-4,CT Cervical and thoracic spine WO and W contrast IV
83304-6,CT Cervical and thoracic spine WO contrast
24932-6,CT Cervical spine
79078-2,CT Cervical spine by reconstruction W contrast IV
79079-0,CT Cervical spine by reconstruction WO contrast
36099-0,CT Cervical spine limited W contrast IV
36109-7,CT Cervical spine limited WO contrast
37496-7,CT Cervical spine W contrast intradisc
24934-2,CT Cervical spine W contrast IT
24933-4,CT Cervical spine W contrast IV
36401-8,CT Cervical spine WO and W contrast IV
30592-0,CT Cervical spine WO contrast
24627-2,CT Chest
79096-4,CT Chest 3D post processing WO contrast
79097-2,CT Chest and Abdomen 3D post processing WO contrast
87869-4,CT Chest and Abdomen and Pelvis
79098-0,CT Chest and Abdomen and Pelvis 3D post processing WO contrast
72254-6,CT Chest and Abdomen and Pelvis W contrast IV
72252-0,CT Chest and Abdomen and Pelvis WO and W contrast IV
83299-8,CT Chest and Abdomen and Pelvis WO and W contrast IV and CTA Thoracic and abdominal aorta WO and W contrast IV
72253-8,CT Chest and Abdomen and Pelvis WO contrast
42275-8,CT Chest and Abdomen W contrast IV
42277-4,CT Chest and Abdomen WO and W contrast IV
42276-6,CT Chest and Abdomen WO contrast
87279-6,CT Chest for screening
79068-3,CT Chest for screening W contrast IV
79086-5,CT Chest for screening WO contrast
36089-1,CT Chest limited
69096-6,CT Chest limited W contrast IV
47366-0,CT Chest limited WO contrast
24628-0,CT Chest W contrast IV
88322-3,CT Chest W contrast IV and CT angiogram Pulmonary arteries for pulmonary embolus W contrast IV
89860-1,CT Chest W inspiration and expiration
46327-3,CT Chest W reduced contrast volume IV
87847-0,CT Chest WO and CT angiogram Coronary arteries W contrast IV
30598-7,CT Chest WO and W contrast IV
46317-4,CT Chest WO and W reduced contrast volume IV
29252-4,CT Chest WO contrast
35960-4,CT Clavicle
89834-6,CT Clavicle - bilateral WO contrast
87871-0,CT Clavicle - left
82716-2,CT Clavicle - left W contrast IV
82682-6,CT Clavicle - left WO contrast
87872-8,CT Clavicle - right
82686-7,CT Clavicle - right W contrast IV
82683-4,CT Clavicle - right WO contrast
82685-9,CT Clavicle W contrast IV
82684-2,CT Clavicle WO and W contrast IV
82687-5,CT Clavicle WO contrast
79101-2,CT Colon and Rectum for screening W air contrast PR
79069-1,CT Colon and Rectum for screening WO contrast IV and W air contrast PR
60515-4,CT Colon and Rectum W air contrast PR
72531-7,CT Colon and Rectum W contrast IV and W air contrast PR
82688-3,CT Colon and Rectum WO and W contrast IV and W air contrast PR
79071-7,CT Colon and Rectum WO contrast IV and W air contrast PR
79090-7,CT densitometry Lumbar spine WO contrast
79092-3,CT densitometry Thoracic spine WO contrast
35962-0,CT Elbow
35965-3,CT Elbow - bilateral
36444-8,CT Elbow - bilateral WO contrast
35966-1,CT Elbow - left
69103-0,CT Elbow - left Arthrogram
36159-2,CT Elbow - left W contrast IV
36286-3,CT Elbow - left WO and W contrast IV
36445-5,CT Elbow - left WO contrast
35968-7,CT Elbow - right
69110-5,CT Elbow - right Arthrogram
36161-8,CT Elbow - right W contrast IV
36287-1,CT Elbow - right WO and W contrast IV
36447-1,CT Elbow - right WO contrast
36157-6,CT Elbow W contrast IV
36285-5,CT Elbow WO and W contrast IV
36443-0,CT Elbow WO contrast
35969-5,CT Esophagus
24690-0,CT Extremity
26224-6,CT Extremity - bilateral
26184-2,CT Extremity - bilateral W contrast IV
26226-1,CT Extremity - left
26185-9,CT Extremity - left W contrast IV
69104-8,CT Extremity - left WO contrast
26231-1,CT Extremity - right
26186-7,CT Extremity - right W contrast IV
69111-3,CT Extremity - right WO contrast
36090-9,CT Extremity limited
24691-8,CT Extremity W contrast IV
42268-3,CT Extremity WO and W contrast IV
42278-2,CT Extremity WO contrast
82132-2,CT Face and Neck WO and W contrast IV
82133-0,CT Face and Neck WO contrast
24696-7,CT Facial bones
24697-5,CT Facial bones W contrast IV
72249-6,CT Facial bones WO contrast
89850-2,CT Finger - left WO contrast
89849-4,CT Finger - right WO contrast
87886-8,CT Finger fifth - left WO contrast
87890-0,CT Finger fifth - right WO contrast
87887-6,CT Finger fourth - left W contrast IV
87891-8,CT Finger fourth - right WO contrast
87888-4,CT Finger second - left WO contrast
87892-6,CT Finger second - right WO contrast
87893-4,CT Finger third - right WO contrast
87895-9,CT Finger WO contrast
35991-9,CT Foot
35993-5,CT Foot - bilateral
86973-5,CT Foot - bilateral W contrast IV
86967-7,CT Foot - bilateral WO contrast
35994-3,CT Foot - left
36181-6,CT Foot - left W contrast IV
