         3094082 function calls (3033718 primitive calls) in 4.473 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.144    2.144    2.211    2.211 {method 'mainloop' of '_tkinter.tkapp' objects}
   102/97    0.290    0.003    0.293    0.003 {built-in method _imp.create_dynamic}
     2673    0.150    0.000    0.150    0.000 {built-in method marshal.loads}
        1    0.137    0.137    0.137    0.137 {built-in method _tkinter.create}
     1135    0.117    0.000    0.117    0.000 {method 'call' of '_tkinter.tkapp' objects}
   4081/0    0.081    0.000    0.000          {built-in method builtins.exec}
6329/6209    0.056    0.000    0.268    0.000 {built-in method builtins.__build_class__}
     2673    0.051    0.000    0.202    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     2673    0.051    0.000    0.051    0.000 {built-in method _io.open_code}
       83    0.046    0.001    0.047    0.001 <frozen abc>:110(register)
    13790    0.033    0.000    0.033    0.000 {built-in method posix.stat}
359940/359892    0.032    0.000    0.033    0.000 {built-in method builtins.isinstance}
     2690    0.030    0.000    0.030    0.000 {method 'read' of '_io.BufferedReader' objects}
      428    0.026    0.000    0.041    0.000 wrappers.py:235(_out_wrapper)
    18499    0.026    0.000    0.026    0.000 {built-in method posix.lstat}
 2208/389    0.020    0.000    0.055    0.000 _parser.py:512(_parse)
   124726    0.019    0.000    0.055    0.000 {built-in method builtins.getattr}
     4111    0.017    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     6074    0.015    0.000    0.019    0.000 typing.py:166(_type_convert)
23582/22140    0.015    0.000    0.027    0.000 {built-in method __new__ of type object at 0x1034c8990}
     7539    0.015    0.000    0.046    0.000 <frozen importlib._bootstrap>:304(acquire)
     2979    0.014    0.000    0.131    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      465    0.014    0.000    0.035    0.000 assumptions.py:614(_prepare_class_assumptions)
   133777    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
    18873    0.014    0.000    0.025    0.000 <frozen posixpath>:71(join)
    23299    0.014    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
1606/1604    0.014    0.000    0.069    0.000 <frozen posixpath>:432(_joinrealpath)
165006/160663    0.012    0.000    0.013    0.000 {built-in method builtins.len}
      350    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
 3975/342    0.012    0.000    0.031    0.000 _compiler.py:37(_compile)
52446/49964    0.012    0.000    0.210    0.000 {built-in method builtins.hasattr}
    63670    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
    17357    0.010    0.000    0.012    0.000 _ops.py:953(<genexpr>)
     1872    0.010    0.000    0.011    0.000 _ops.py:601(__init__)
     2673    0.009    0.000    0.329    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      376    0.009    0.000    0.010    0.000 {built-in method builtins.eval}
     1363    0.009    0.000    0.028    0.000 inspect.py:2393(_signature_from_function)
40031/39963    0.009    0.000    0.010    0.000 {method 'join' of 'str' objects}
  3020/15    0.008    0.000    0.329    0.022 <frozen importlib._bootstrap>:1349(_find_and_load)
     4188    0.008    0.000    0.015    0.000 functools.py:35(update_wrapper)
     1067    0.008    0.000    0.008    0.000 {built-in method torch._C._jit_get_operation}
   356/90    0.008    0.000    0.113    0.001 library.py:199(impl)
        1    0.008    0.008    0.008    0.008 status.py:1(<module>)
     5346    0.008    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     1696    0.008    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
     5682    0.008    0.000    0.031    0.000 typing.py:175(_type_check)
    16432    0.008    0.000    0.017    0.000 typing.py:1215(__setattr__)
    46487    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
     8678    0.008    0.000    0.110    0.000 __init__.py:280(_compile)
     7539    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap>:372(release)
    42936    0.007    0.000    0.009    0.000 {built-in method builtins.setattr}
    11350    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
      377    0.007    0.000    0.136    0.000 dataclasses.py:921(_process_class)
     7539    0.007    0.000    0.015    0.000 <frozen importlib._bootstrap>:124(setdefault)
2466/1649    0.007    0.000    0.048    0.000 inspect.py:2497(_signature_from_callable)
     3004    0.007    0.000    0.007    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
       66    0.007    0.000    0.011    0.000 _mac_detect.py:53(theme)
     7539    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    49173    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
     4082    0.007    0.000    0.021    0.000 _ops.py:952(_has_script_object_arg)
  2999/15    0.006    0.000    0.329    0.022 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
10005/4009    0.006    0.000    0.204    0.000 {built-in method builtins.any}
     1440    0.006    0.000    0.011    0.000 enum.py:254(__set_name__)
     5167    0.006    0.000    0.010    0.000 inspect.py:2739(__init__)
   102/94    0.006    0.000    0.066    0.001 {built-in method _imp.exec_dynamic}
    52158    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
    38157    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
11072/10362    0.006    0.000    0.091    0.000 typing.py:392(inner)
     1872    0.006    0.000    0.006    0.000 {built-in method torch._C._get_operation_overload}
    15469    0.006    0.000    0.009    0.000 conflict.py:7(supercedes)
     7539    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap>:162(__enter__)
     2799    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      363    0.005    0.000    4.898    0.013 __init__.py:1(<module>)
     2591    0.005    0.000    0.036    0.000 typing.py:1269(__init__)
        8    0.005    0.001    0.005    0.001 {built-in method _ctypes.dlopen}
    26315    0.005    0.000    0.008    0.000 _parser.py:261(get)
    18517    0.005    0.000    0.010    0.000 typing.py:1161(_is_dunder)
     2482    0.005    0.000    0.009    0.000 inspect.py:3025(__init__)
      171    0.005    0.000    0.012    0.000 __init__.py:355(namedtuple)
        1    0.005    0.005    0.005    0.005 {built-in method _posixsubprocess.fork_exec}
     6032    0.005    0.000    0.009    0.000 conflict.py:12(consistent)
  2782/17    0.005    0.000    0.327    0.019 <frozen importlib._bootstrap>:911(_load_unlocked)
      131    0.005    0.000    0.007    0.000 library.py:87(define)
     2251    0.004    0.000    0.010    0.000 enum.py:390(__setitem__)
      349    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
    30774    0.004    0.000    0.004    0.000 assumptions.py:489(as_property)
     4082    0.004    0.000    0.004    0.000 {built-in method torch._C._get_schema}
    20724    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
      421    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
